#Compiled by SeeTweet 2.2.5.
#Search performed at 2017-06-23 19:43
#Search location: U.S. 4-location coverage points (Texas, KC, SD, SF)
#Search term: "tractor+trailer"
day,year,month,date,hour,minute,second,source,city,state,lat,long,uid,tid,center,incl
Fri,2017,6,23,00,15,33,citystate,rochester,ma,41.7317701,-70.8200371,853046580387209217,878043815344353280,0,1
Fri,2017,6,23,00,05,45,failure,NA,NA,NA,NA,1904590903,87804134983608729,0,1
Thu,2017,6,22,23,45,02,citystate,tolland,ct,41.8714865,-72.3686931,1702257122,878036134391148547,0,1
Thu,2017,6,22,22,58,27,citystate,augusta,ga,33.4709702,-81.9748379,198240409,878024413622525952,0,1
Thu,2017,6,22,22,32,15,failure,NA,NA,NA,NA,78110149,87801781716501299,0,1
Thu,2017,6,22,22,25,03,knowncity,atlanta,unk,33.75,-84.39,14268564,87801600572493824,0,1
Thu,2017,6,22,22,22,33,citystate,sheboygan,wi,43.7508284,-87.71453,12814702,878015377065754624,0,1
Thu,2017,6,22,22,18,27,citystate,south bend,in,41.6833813,-86.2500066,794900507789819904,878014348064464896,0,1
Thu,2017,6,22,22,10,24,failure,NA,NA,NA,NA,78110149,87801231903656345,0,1
Thu,2017,6,22,22,02,36,geo,unk,unk,35.1982836,-111.651302,148801497,87801035813642240,0,1
Thu,2017,6,22,21,59,56,failure,NA,NA,NA,NA,53587641,87800968773973606,0,1
Thu,2017,6,22,21,57,26,failure,NA,NA,NA,NA,40240239,87800905654739763,0,1
Thu,2017,6,22,21,46,46,geo,unk,unk,38.9181671,-78.1944446,129811956,87800637206272409,0,1
Thu,2017,6,22,21,30,05,citystate,nashville,tn,36.1658899,-86.7844432,4236832835,878002175095357440,0,1
Thu,2017,6,22,21,27,27,knowncity,atlanta,unk,33.75,-84.39,77326391,87800151334743244,0,1
