pid,robot,inference,human_tasks,robot_tasks,both_tasks,total_tasks
cd895a66,reactive,bayesian,23,10,6,39
d4291c1a,fixed,oracle,27,4,8,39
d4291c1a,predictive,oracle,35,4,0,39
d4291c1a,reactive,oracle,28,6,5,39
d46b4c33,fixed,bayesian,20,12,7,39
d46b4c33,predictive,bayesian,23,14,2,39
d46b4c33,reactive,bayesian,18,14,7,39
d4cf7a82,fixed,oracle,19,10,10,39
d4cf7a82,predictive,oracle,28,11,0,39
d4cf7a82,reactive,oracle,21,12,6,39
d569aa92,fixed,bayesian,22,12,5,39
d569aa92,predictive,bayesian,17,21,1,39
d569aa92,reactive,bayesian,21,13,5,39
d6be3896,fixed,bayesian,18,13,8,39
d6be3896,predictive,bayesian,20,14,5,39
d6be3896,reactive,bayesian,20,8,11,39
d9a08f2e,fixed,bayesian,22,8,9,39
d9a08f2e,predictive,bayesian,21,14,4,39
d9a08f2e,reactive,bayesian,20,9,10,39
d9b4ba9f,fixed,bayesian,20,7,12,39
d9b4ba9f,predictive,bayesian,20,14,5,39
d9b4ba9f,reactive,bayesian,23,10,6,39
dbde36e7,fixed,bayesian,22,10,7,39
dbde36e7,predictive,bayesian,24,13,2,39
dbde36e7,reactive,bayesian,27,7,5,39
dbfdcde5,fixed,bayesian,23,9,7,39
dbfdcde5,predictive,bayesian,20,19,0,39
dbfdcde5,reactive,bayesian,21,13,5,39
dcf9bbba,fixed,oracle,29,7,3,39
dcf9bbba,predictive,oracle,33,6,0,39
dcf9bbba,reactive,oracle,26,8,5,39
dd9b8211,fixed,oracle,19,14,6,39
dd9b8211,predictive,oracle,17,20,2,39
dd9b8211,reactive,oracle,18,19,2,39
de282225,fixed,bayesian,23,10,6,39
de282225,predictive,bayesian,17,21,1,39
de282225,reactive,bayesian,17,18,4,39
df372732,fixed,oracle,20,11,8,39
df372732,predictive,oracle,21,18,0,39
df372732,reactive,oracle,17,15,7,39
e1a145c4,fixed,bayesian,23,5,11,39
e1a145c4,predictive,bayesian,21,16,2,39
e1a145c4,reactive,bayesian,26,7,6,39
e1d6265a,fixed,bayesian,20,14,5,39
e1d6265a,predictive,bayesian,18,19,2,39
e1d6265a,reactive,bayesian,22,14,3,39
e3f7d4da,fixed,oracle,21,12,6,39
e3f7d4da,predictive,oracle,23,16,0,39
e3f7d4da,reactive,oracle,26,12,1,39
e69b37fa,fixed,oracle,21,7,11,39
e69b37fa,predictive,oracle,25,14,0,39
e69b37fa,reactive,oracle,22,10,7,39
e726b4d2,fixed,bayesian,21,9,9,39
e726b4d2,predictive,bayesian,19,15,5,39
e726b4d2,reactive,bayesian,20,9,10,39
e767969c,fixed,oracle,23,9,7,39
e767969c,predictive,oracle,33,6,0,39
e767969c,reactive,oracle,19,10,10,39
e7fb97e8,fixed,oracle,21,15,3,39
e7fb97e8,predictive,oracle,25,14,0,39
e7fb97e8,reactive,oracle,19,14,6,39
e879a52a,fixed,oracle,19,13,7,39
e879a52a,predictive,oracle,21,18,0,39
e879a52a,reactive,oracle,20,15,4,39
e8dc0b8f,fixed,bayesian,18,15,6,39
e8dc0b8f,predictive,bayesian,11,27,1,39
e8dc0b8f,reactive,bayesian,19,15,5,39
e8e99fd5,fixed,oracle,25,7,7,39
e8e99fd5,predictive,oracle,33,6,0,39
e8e99fd5,reactive,oracle,26,6,7,39
e99d3dea,fixed,bayesian,24,12,3,39
e99d3dea,predictive,bayesian,19,19,1,39
e99d3dea,reactive,bayesian,24,11,4,39
eaa68a1b,fixed,oracle,16,17,6,39
eaa68a1b,predictive,oracle,22,16,1,39
eaa68a1b,reactive,oracle,20,11,8,39
eaba083f,fixed,oracle,19,13,7,39
eaba083f,predictive,oracle,16,22,1,39
eaba083f,reactive,oracle,19,17,3,39
eac79c7e,fixed,bayesian,21,10,8,39
eac79c7e,predictive,bayesian,18,19,2,39
eac79c7e,reactive,bayesian,22,10,7,39
eb36d692,fixed,oracle,25,8,6,39
eb36d692,predictive,oracle,34,5,0,39
eb36d692,reactive,oracle,24,7,8,39
eb501777,fixed,bayesian,22,10,7,39
eb501777,predictive,bayesian,19,17,3,39
eb501777,reactive,bayesian,17,19,3,39
edcfe08d,fixed,bayesian,21,10,8,39
edcfe08d,predictive,bayesian,16,18,5,39
edcfe08d,reactive,bayesian,20,15,4,39
f39df881,fixed,bayesian,19,12,8,39
f39df881,predictive,bayesian,17,21,1,39
f39df881,reactive,bayesian,21,15,3,39
f4d666df,fixed,bayesian,20,19,0,39
f4d666df,predictive,bayesian,14,22,3,39
f4d666df,reactive,bayesian,21,12,6,39
f8d129f1,fixed,oracle,21,11,7,39
f8d129f1,predictive,oracle,25,14,0,39
f8d129f1,reactive,oracle,22,14,3,39
f99b9306,fixed,bayesian,20,14,5,39
f99b9306,predictive,bayesian,9,27,3,39
f99b9306,reactive,bayesian,21,13,5,39
fb9e5896,fixed,bayesian,21,15,3,39
fb9e5896,predictive,bayesian,21,16,2,39
fb9e5896,reactive,bayesian,20,10,9,39
